wl,name,tier,C,P,S,ideal,greedy,dp,ovh,Mg,Md,kill,n
A1,FSDP Llama-8B FT,nvme,4,1.471,148,92.36238031928276,89.81460060609061,89.83623290501562,2.5477797131921585,1.0574074074074074,0.9944444444444445,0.2777777777777778,1080
A1,FSDP Llama-8B FT,sata,4,1.471,148,92.31291053187618,89.20517211487183,89.23271464893551,3.1077384170043434,1.0601851851851851,0.9907407407407407,0.3703703703703704,1080
A2,vLLM batch inference,nvme,2,0.497,41,92.42751389228143,88.39725228832995,88.40644680352582,4.030261603951478,0.9851851851851852,0.9648148148148148,0.0925925925925926,1080
A2,vLLM batch inference,sata,2,0.497,41,92.24485872650163,87.73996968118523,87.76035145550313,4.504889045316414,1.0018518518518518,0.9712962962962963,0.2777777777777778,1080
A3,ViT-Huge train,nvme,12,0.526,35,92.73349450358504,92.16379364628318,92.17017614533474,0.569700857301849,1.3314814814814815,1.1944444444444444,0.4629629629629629,1080
A3,ViT-Huge train,sata,12,0.526,35,92.53168893555352,91.86905864218862,91.87855435617257,0.662630293364902,1.3314814814814815,1.1796296296296296,0.0925925925925926,1080
A4,DLRM train,nvme,1,0.312,33,92.46844400438643,82.16789810325605,82.1771130471586,10.300545901130373,0.9472222222222222,0.9462962962962963,0.0925925925925926,1080
A4,DLRM train,sata,1,0.312,33,92.22982772735372,80.55043004848423,80.56876697928556,11.679397678869488,0.9462962962962963,0.9444444444444444,0.1851851851851852,1080
A5,GAPBS graph,nvme,1,0.255,71,92.37615153455036,65.13940297962026,65.18920279107662,27.2367485549301,0.9462962962962963,0.9435185185185185,0.2777777777777778,1080
A5,GAPBS graph,sata,1,0.255,71,92.52341552208343,62.39414607924343,62.45776984639967,30.129269442839995,0.9490740740740741,0.9462962962962963,0.2777777777777778,1080
A6,gem5 sim,nvme,8,0.148,50,92.51167625512744,88.14263752696618,88.21756112270413,4.369038728161252,1.1592592592592592,0.9944444444444445,0.4629629629629629,1080
A6,gem5 sim,sata,8,0.148,50,92.51258810546386,87.58014260700591,87.70241322708723,4.932445498457947,1.2083333333333333,0.9990740740740741,0.5555555555555556,1080
A7,DuckDB multi-proc,nvme,1,0.311,100,92.3571451601367,59.536862751420124,59.552361551529195,32.820282408716565,0.9462962962962963,0.9453703703703704,0.0925925925925926,1080
A7,DuckDB multi-proc,sata,1,0.311,100,92.46051136665011,59.41584934879287,59.516495215883175,33.04466201785724,0.9472222222222222,0.9435185185185185,0.3703703703703704,1080
A8,DuckDB multi-thread,nvme,1,0.302,100,92.3805732755791,59.24238552913363,59.32658734696155,33.13818774644547,0.9481481481481482,0.9453703703703704,0.2777777777777778,1080
A8,DuckDB multi-thread,sata,1,0.302,100,92.45176599649622,56.0361223042073,56.15731255530318,36.415643692288924,0.950925925925926,0.9425925925925925,0.8333333333333334,1080
